City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,sosnogorsk,44,RU,1602036591,69,45.23,147.88,57.58,6.02
89,gouyave,13,KI,1602036593,79,3.07,172.79,82.65,11.43
90,brigantine,52,MZ,1602036595,84,-17.88,36.89,70.2,4.45
91,henties bay,0,AU,1602036597,26,-24.87,113.63,69.8,5.82
92,ambon,4,PF,1602036599,79,-16.48,-151.75,77.97,15.41
93,koryukivka,26,RU,1602036601,51,48.97,140.29,54.93,3.67
94,hermanus,75,CA,1602036604,87,45.62,-61.35,55,5.82
95,kurilsk,95,MV,1602036606,77,2.67,72.89,82.94,11.74
96,butaritari,20,CA,1602036608,93,47.67,-52.73,46,12.75
97,quelimane,1,US,1602036610,82,38.89,-76.51,60.8,10.02
98,carnarvon,75,TO,1602036612,88,-21.2,-175.2,77,12.75
99,faanui,30,PT,1602036614,78,38.52,-28.7,69.75,15.88
100,sovetskaya gavan,0,AU,1602036617,28,-28.77,114.6,69.8,8.05
101,port hawkesbury,0,CN,1602036619,40,43.61,122.27,54.39,6.29
102,kudahuvadhoo,75,JP,1602036621,64,35.13,140.3,73.99,14.99
103,torbay,100,IR,1602036623,91,36.69,52.52,61.25,7.29
104,mayo,100,CF,1602036625,95,5.4,26.49,68.52,2.46
105,vaini,0,ML,1602036627,19,20.2,1.01,86.77,10.87
106,ribeira grande,100,AO,1602036631,73,-8.42,20.74,67.78,2.68
107,geraldton,40,CA,1602036633,93,48.75,-79,50,5.82
108,tongliao,75,CA,1602036636,81,55.1,-105.28,48.2,11.41
109,katsuura,98,NO,1602036638,72,68.12,13.5,53.04,16.71
110,fereydun kenar,75,JP,1602036640,73,34.67,138.95,69.8,20.8
111,obo,0,BR,1602036550,90,-21.64,-41.05,75.02,1.16
112,tessalit,90,RU,1602036644,87,59.7,30.79,54,4.47
113,dolbeau,90,US,1602036384,50,42.25,-75.83,59,9.17
114,lucapa,1,NC,1602036648,77,-20.23,164.02,72.91,19.13
115,macamic,90,US,1602036650,100,40.6,-124.16,57.99,5.82
116,la ronge,8,ZA,1602036653,93,-31.59,28.78,57.2,2.24
117,gravdal,20,AR,1602036655,60,-51.62,-69.22,41,12.75
118,shimoda,99,GB,1602036657,93,56.07,-3.72,52,10.29
119,sao joao da barra,90,CA,1602036659,96,63.75,-68.51,33.8,19.46
120,nikolskoye,20,SJ,1602036665,86,78.22,15.64,33.8,5.82
121,broome,20,ID,1602036667,74,-2.92,104.75,84.2,4.7
122,poum,54,ID,1602036670,73,-3.8,102.27,81.73,2.46
123,fortuna,37,RE,1602036672,77,-21.36,55.77,69.8,3.36
124,umtata,100,UY,1602036674,89,-33.7,-53.46,51.55,4.56
125,rio gallegos,100,LK,1602036643,78,5.95,80.54,80.11,11.16
126,kincardine,100,NZ,1602036678,80,-46.13,167.68,46.99,18.01
127,iqaluit,75,RU,1602036680,96,58.38,58.32,28.09,4.45
128,mys shmidta,0,BR,1602036682,82,-10.41,-36.43,74.03,7.72
129,yithion,0,KZ,1602036684,79,45.32,55.2,36.79,6.22
130,longyearbyen,21,CA,1602036686,85,52.85,-102.38,45.77,4.94
131,palembang,90,CA,1602036689,94,70.47,-68.59,32,17.22
132,bengkulu,13,ZA,1602036691,91,-33.59,26.89,60.64,1.88
133,saint-philippe,100,ID,1602036693,79,5.89,95.32,81.81,19.06
134,chuy,25,PG,1602036695,75,-2.02,147.27,84.2,6.93
135,matara,0,RU,1602036697,63,47.89,134.95,50.68,11.36
136,tuatapere,96,FR,1602036699,88,46.42,3.91,53.01,1.99
137,gornozavodsk,77,GF,1602036701,82,5.38,-52.95,80.56,10.09
138,piacabucu,75,US,1602036484,33,45.02,-93.22,73.4,12.75
139,beyneu,0,RU,1602036706,92,69.49,88.4,24.8,17.9
140,hudson bay,1,BR,1602036462,43,-24.79,-50.01,70.72,3.91
141,clyde river,0,RU,1602036710,49,59.7,150.17,45.61,8.34
142,port alfred,0,OM,1602036712,54,22.57,59.53,77.74,5.79
143,sabang,0,SA,1602036714,70,21.43,39.83,78.57,1.25
144,lorengau,20,CV,1602036716,83,15.13,-23.22,75.2,5.82
145,khor,100,NZ,1602036719,80,-46.19,168.86,46.99,18.01
146,saint-francois,20,MY,1602036721,88,5.41,100.34,78.8,3.36
147,sinnamary,93,AU,1602036723,62,-41.17,146.35,61,1.99
